team,dfs_points,vs_avg,pass_yards_rank,pass_td_rank,pass_20_rank,pass_40_rank,rush_yards_rank,rush_td_rank,rush_20_rank,rush_40_rank,rec_yards_rank,rec_td_rank,receptions_rank,rec_20_rank,rec_40_rank,dk_rank,fd_rank
Team Name,,,,,20,40,,,20,40,,,,20,40,,
Cardinals Logo,15.8,-1.7,28.0,10.0,19,9,9.0,1.0,23,1,1.0,1.0,1.0,1,1,13.0,11.0
Cardinals Logo,23.6,3.0,1.0,1.0,1,1,15.0,15.0,25,1,27.0,19.0,27.0,27,1,25.0,24.0
Cardinals Logo,14.4,2.6,1.0,1.0,1,1,1.0,1.0,1,1,26.0,9.0,27.0,22,1,23.0,22.0
Cardinals Logo,33.4,0.9,1.0,1.0,1,1,12.0,1.0,1,1,21.0,5.0,30.0,12,12,20.0,18.0
Falcons Logo,13.0,-4.5,2.0,5.0,5,10,20.0,17.0,25,1,1.0,1.0,1.0,1,1,4.0,4.0
Falcons Logo,14.9,-5.7,1.0,1.0,1,1,8.0,4.0,1,1,2.0,21.0,6.0,1,1,6.0,6.0
Falcons Logo,3.6,-8.2,1.0,1.0,1,1,1.0,1.0,1,1,2.0,1.0,2.0,1,1,1.0,1.0
Falcons Logo,25.6,-6.9,1.0,1.0,1,1,13.0,1.0,1,1,11.0,7.0,3.0,12,14,5.0,6.0
Ravens Logo,24.0,6.5,29.0,18.0,29,10,11.0,29.0,1,1,1.0,1.0,1.0,1,1,29.0,29.0
Ravens Logo,37.1,16.5,1.0,1.0,1,1,32.0,31.0,26,21,29.0,21.0,32.0,15,28,32.0,32.0
Ravens Logo,15.6,3.8,1.0,1.0,1,1,1.0,1.0,1,1,31.0,10.0,28.0,30,1,26.0,26.0
Ravens Logo,34.2,1.7,1.0,1.0,1,1,20.0,1.0,1,1,17.0,14.0,19.0,20,1,22.0,22.0
Bills Logo,18.1,0.6,1.0,18.0,2,1,32.0,17.0,25,1,1.0,1.0,1.0,1,1,21.0,22.0
Bills Logo,21.3,0.7,1.0,1.0,1,1,21.0,26.0,18,31,7.0,1.0,13.0,1,1,20.0,20.0
Bills Logo,4.7,-7.1,1.0,1.0,1,1,1.0,1.0,1,1,1.0,10.0,1.0,1,1,2.0,2.0
Bills Logo,29.6,-2.9,32.0,1.0,1,1,22.0,1.0,1,1,6.0,22.0,5.0,7,1,10.0,11.0
Panthers Logo,11.2,-6.3,12.0,1.0,5,1,14.0,1.0,25,1,1.0,1.0,1.0,1,1,1.0,1.0
Panthers Logo,21.2,0.6,1.0,1.0,1,1,29.0,4.0,1,21,22.0,1.0,20.0,15,1,19.0,18.0
Panthers Logo,15.4,3.6,1.0,1.0,1,1,1.0,1.0,1,1,32.0,10.0,24.0,29,1,25.0,25.0
