team,dfs_points,vs_avg,pass_yards_rank,pass_td_rank,pass_20_rank,pass_40_rank,rush_yards_rank,rush_td_rank,rush_20_rank,rush_40_rank,rec_yards_rank,rec_td_rank,receptions_rank,rec_20_rank,rec_40_rank,dk_rank,fd_rank
Team Name,,,,,20,40,,,20,40,,,,20,40,,
Cardinals Logo,14.4,-3.7,28.0,4.0,19,14,5.0,1.0,18,1,1.0,1.0,1.0,1,1,5.0,4.0
Cardinals Logo,22.4,0.5,1.0,1.0,1,1,14.0,12.0,20,1,22.0,13.0,25.0,25,1,23.0,19.0
Cardinals Logo,14.8,2.1,1.0,1.0,1,1,2.0,1.0,1,1,28.0,4.0,27.0,14,1,22.0,21.0
Cardinals Logo,32.2,-0.1,1.0,1.0,1,1,10.0,1.0,1,1,24.0,2.0,26.0,18,16,14.0,14.0
Falcons Logo,14.0,-4.1,1.0,11.0,3,13,19.0,22.0,32,1,1.0,1.0,1.0,1,1,4.0,5.0
Falcons Logo,14.9,-7.0,1.0,1.0,1,1,11.0,3.0,1,26,1.0,22.0,4.0,1,1,2.0,2.0
Falcons Logo,3.5,-9.2,1.0,1.0,1,1,2.0,1.0,1,1,1.0,1.0,1.0,1,1,1.0,1.0
Falcons Logo,27.9,-4.4,1.0,1.0,1,1,25.0,1.0,1,1,4.0,18.0,5.0,7,15,5.0,7.0
Ravens Logo,25.8,7.7,30.0,32.0,27,14,14.0,26.0,18,1,1.0,1.0,1.0,1,1,31.0,31.0
Ravens Logo,30.9,9.0,1.0,1.0,1,1,28.0,29.0,27,17,23.0,25.0,29.0,11,26,31.0,30.0
Ravens Logo,14.9,2.2,1.0,1.0,1,1,2.0,1.0,1,1,30.0,4.0,27.0,28,1,23.0,22.0
Ravens Logo,42.9,10.6,1.0,1.0,1,1,32.0,1.0,32,1,23.0,31.0,26.0,18,5,31.0,31.0
Bills Logo,16.3,-1.8,2.0,9.0,4,1,32.0,12.0,18,1,1.0,1.0,1.0,1,1,10.0,10.0
Bills Logo,22.1,0.2,1.0,1.0,1,1,23.0,29.0,11,28,3.0,1.0,11.0,1,1,19.0,22.0
Bills Logo,5.7,-7.0,1.0,1.0,1,1,2.0,1.0,1,1,2.0,4.0,2.0,14,1,2.0,2.0
Bills Logo,29.7,-2.6,30.0,1.0,1,1,16.0,1.0,1,1,5.0,18.0,9.0,3,1,11.0,12.0
Panthers Logo,15.8,-2.3,8.0,12.0,17,4,9.0,12.0,18,1,1.0,1.0,1.0,1,1,7.0,9.0
