Name,Position,Team,AgainstTeam,Stat,Line,Odds,H2HArray,L5Array,l7_mr,l15_mr,l30_mr,FinalMatchupScore,Temp,Size,H2HAvg,L5Avg,Diff,Rel Diff,Percent,Sample Size,Score,GameId
Ace Bailey,PF,UTA,CLE,Points,18.5,standard,[4],"[25, 37, 15, 15, 13]",28,28,19,88.245,0,1,4.0,21.0,-14.5,-0.25,-78.378,1,3.942,NBA_game_DhKB0oWG1VFqJj5HAndhPQkM
Ace Bailey,PF,UTA,CLE,Pts+Asts,20.5,standard,[6],"[29, 40, 18, 16, 15]",26,29,19,86.025,0,1,6.0,23.6,-14.5,-0.25,-70.732,1,3.864,NBA_game_DhKB0oWG1VFqJj5HAndhPQkM
Ace Bailey,PF,UTA,CLE,Pts+Rebs,23.5,standard,[7],"[32, 43, 20, 22, 19]",26,28,14,82.14,0,1,7.0,27.2,-16.5,-0.25,-70.213,1,3.712,NBA_game_DhKB0oWG1VFqJj5HAndhPQkM
Ace Bailey,PF,UTA,CLE,Pts+Rebs+Asts,25.5,standard,[9],"[36, 46, 23, 23, 21]",23,26,15,75.48,0,1,9.0,29.8,-16.5,-0.25,-64.706,1,3.454,NBA_game_DhKB0oWG1VFqJj5HAndhPQkM
Ace Bailey,PF,UTA,CLE,Rebs+Asts,7.5,standard,[5],"[11, 9, 8, 8, 8]",5,8,9,22.2,0,1,5.0,8.8,-2.5,-0.25,-33.333,1,2.025,NBA_game_DhKB0oWG1VFqJj5HAndhPQkM
Alex Sarr,C,WAS,LAL,Points,11.5,standard,[16],"[16, 4, 2, 14, 8]",27,24,24,84.915,1,1,16.0,8.8,4.5,0.25,39.13,1,4.864,NBA_game_K4W94cYl2FzkBxVT0Rh8NYk6
Alex Sarr,C,WAS,LAL,Pts+Rebs,17.5,standard,[22],"[20, 9, 5, 19, 17]",23,19,22,71.595,1,1,22.0,14.0,4.5,0.25,25.714,1,4.471,NBA_game_K4W94cYl2FzkBxVT0Rh8NYk6
Alex Sarr,C,WAS,LAL,Pts+Rebs+Asts,19.5,standard,[27],"[20, 9, 7, 27, 20]",22,24,23,76.035,1,1,27.0,16.6,7.5,0.25,38.462,1,4.799,NBA_game_K4W94cYl2FzkBxVT0Rh8NYk6
Andrew Wiggins,PF,MIA,PHI,3-PT Made,1.5,standard,[2],"[0, 1, 2, 3, 3]",29,30,24,94.905,1,1,2.0,1.8,0.5,0.25,33.333,1,5.903,NBA_game_ut9fdOuTbe9A1ZpnpvSjLOzi
Andrew Wiggins,PF,MIA,PHI,Points,13.5,standard,[18],"[8, 9, 12, 12, 15]",15,27,18,64.935,1,1,18.0,11.2,4.5,0.25,33.333,1,3.874,NBA_game_ut9fdOuTbe9A1ZpnpvSjLOzi
Andrew Wiggins,PF,MIA,PHI,Pts+Rebs,17.5,standard,[20],"[12, 12, 15, 13, 21]",16,27,22,68.82,1,1,20.0,14.6,2.5,0.143,14.286,1,3.971,NBA_game_ut9fdOuTbe9A1ZpnpvSjLOzi
Anthony Edwards,SG,MIN,DAL,Points,28.5,standard,"[13, 20, 40]","[34, 14, 36, 42, 19]",18,25,20,68.82,1,3,24.333,29.0,-4.167,-0.146,-14.62,3,4.056,NBA_game_V1Cpj4bJn9ZJhSsECkaIJzTp
Anthony Edwards,SG,MIN,DAL,Pts+Asts,32.5,standard,"[16, 26, 41]","[36, 18, 41, 47, 24]",22,25,23,77.145,1,3,27.667,33.2,-4.833,-0.149,-14.872,3,4.387,NBA_game_V1Cpj4bJn9ZJhSsECkaIJzTp
Anthony Edwards,SG,MIN,DAL,Pts+Rebs,32.5,standard,"[17, 26, 46]","[37, 16, 38, 50, 25]",16,26,24,68.82,1,3,29.667,33.2,-2.833,-0.087,-8.718,3,4.138,NBA_game_V1Cpj4bJn9ZJhSsECkaIJzTp
